Date,SRC,ID,loan_amnt,int_rate,installment,grade_new,annual_inc,verification_status_new,addr_state,fico_pct_change_new,revol_bal,revol_util,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_amnt,tot_cur_bal,total_rev_hi_lim,avg_cur_bal,tot_hi_cred_lim,total_bal_ex_mort,total_il_high_credit_limit,loan_status_new
11/1/2016,Reuters,93280335,3600,11.44,118.62,1,110000,1,MI,0,16798,98,3707.575743,3600,107.58,3476.06,185028,17200,18502,221832,133514,146482,0
11/1/2015,Fake,64068601,28000,19.99,741.68,0,115000,0,UT,0,43545,62.7,19255.22,9557.94,9697.28,741.68,353129,69500,22071,417672,82619,58052,0
3/1/2017,BBG,102352296,12000,12.74,271.45,1,54000,0,FL,0,4516,82.1,2163.11,1196.14,966.97,271.45,17612,5500,2935,37208,17612,31708,0
11/1/2016,S&P,92538263,15000,19.99,557.38,0,26000,1,CA,0,2012,26.8,6746.87,4019.22,2727.65,557.38,4792,7500,685,11000,4792,3500,0
7/1/2016,Reuters,84654008,10000,10.99,327.34,1,62000,1,MI,0,1197,18.1,5568.94,4313.31,1239.26,327.34,47448,6600,6778,64845,21814,26745,0
8/1/2017,Fake,116883348,18000,7.07,556.37,1,73000,1,IL,1,3548,6.9,1697.39,1358.94,338.45,556.37,44729,51154,2982,109624,44729,58470,0
9/1/2015,BBG,58573233,28000,5.32,843.22,1,275000,1,TX,1,36121,60.1,22750.39,20576.77,2173.62,843.22,247103,60100,17650,346129,72593,76133,0
10/1/2015,S&P,62934518,28000,8.18,570.16,1,57000,0,MI,0,38632,68.9,14250.53,10300.1,3950.43,570.16,104672,56100,10467,137779,40462,10984,0
6/1/2014,Reuters,17654188,24000,23.43,682.52,0,75000,1,OK,0,13221,71.1,11129.26,3969.9,7159.36,682.52,170751,18600,18972,185602,78296,71585,1
6/1/2015,Fake,50516248,8800,13.33,297.91,1,20000,1,CA,0,14647,64.8,8930.78,7080.13,1850.65,297.91,14647,22600,1465,22600,14647,0,0
9/1/2017,BBG,118183907,36000,20,1337.89,0,75000,1,PA,1,9058,35.4,3973.67,2250.77,1722.9,1337.89,58710,25600,7339,82140,58710,56540,0
7/1/2013,S&P,6318205,15000,15.88,526.47,1,70000,0,MA,0,18523,79.2,19001.58,15000,4001.58,2.34,18523,23400,1684,23400,18523,0,0
11/1/2015,Reuters,63988022,10000,15.41,348.67,0,40000,1,GA,0,5369,31.8,8708.19,6444,2264.19,348.67,20326,16900,3388,45406,20326,28506,0
1/1/2017,Fake,96735599,24000,14.99,570.84,1,99700,1,CT,0,7838,72.6,6259.25,3174.81,3084.44,570.84,25470,10800,2547,39994,25470,29194,0
8/1/2016,BBG,84495926,10200,12.79,230.99,1,100300,0,CA,0,22326,41.5,10297.85,10200,97.85,10305.1,51177,53800,3412,97640,51177,43840,0
2/1/2017,S&P,97425743,1000,15.99,35.16,1,40000,1,NM,0,6563,30,350.71,231.92,118.79,35.16,42539,21900,4254,58464,42539,36564,0
11/1/2012,Reuters,2082170,8000,12.12,266.18,1,40000,0,TX,0,9369,64.6,9429,8000,1429,3043.71,43657,14500,8731,54712,43657,40212,0
3/1/2016,Fake,74615334,15000,6.49,459.67,1,250000,1,NM,1,33611,55.8,15225.95,15000,225.95,13231.36,296263,60200,32918,417700,70515,53000,0
9/1/2017,BBG,118222532,32000,10.42,1038.88,1,94000,0,VA,1,25473,98.4,3209.27,2302.93,906.34,1038.88,52947,25900,7564,71336,52947,45436,0
1/1/2017,S&P,96816936,18000,13.99,615.11,1,62000,1,TX,0,16713,64,18860.38054,18000,860.38,17029.04,28106,26100,2555,49225,28106,23125,0
7/1/2017,Reuters,113482778,3000,16.02,105.51,1,65000,1,OH,0,7190,34.1,524.88,336.16,188.72,105.51,239349,21100,15957,255440,93860,87057,0
3/1/2017,Fake,102632163,3350,12.74,112.46,1,17000,1,CA,0,3308,41.4,1009.77,722.18,287.59,112.46,22723,8000,5681,26500,22723,18500,0
1/1/2016,BBG,68525635,12000,10.78,391.62,1,85000,1,GA,0,14549,70.6,13432.0663,12000,1432.07,7547.85,223790,20600,24866,236208,14549,0,0
1/1/2016,S&P,69562430,14100,5.32,424.62,1,67000,0,OR,1,17895,26.5,14306.96,14100,206.96,13433.47,173022,67600,14419,267877,40284,33477,0
1/1/2013,Reuters,3163148,12000,7.62,373.94,1,71336,1,CO,1,9853,34.2,12676.90715,12000,676.91,9325.11,259682,28800,23607,300548,51285,56748,0
1/1/2016,Fake,68814406,10000,17.27,357.88,0,85000,0,OH,0,30876,94.1,3433.44,1563.98,981.49,407.78,259383,32800,19953,334134,57931,62789,1
2/1/2015,BBG,40460306,24000,6.03,730.46,1,81269,0,NV,1,45636,40,26195.17577,24000,2195.18,6459.23,271980,114200,33998,394200,45636,0,0
7/1/2016,S&P,85853024,5000,19.99,185.8,0,77000,1,MD,0,2126,81.8,5093.94,5000,93.94,5105.05,266436,2600,53287,322545,22540,24225,0
3/1/2017,Reuters,100155439,21000,8.24,660.4,1,104000,1,IL,0,39368,72.5,5998.93,4773.74,1225.19,660.4,316617,54300,18625,358774,58173,32474,0
1/1/2016,Fake,69136252,6000,14.85,207.56,1,40000,0,OK,0,10754,44.3,4761.5,3522.01,1239.49,207.56,131829,24300,8789,167520,33951,35741,0
9/1/2017,BBG,119214761,8000,10.42,259.72,1,45300,1,VA,0,8874,60,774.53,575.73,198.8,259.72,210811,14800,30116,218972,23760,12872,0
10/1/2014,S&P,28593356,15000,7.69,467.91,1,45000,1,NJ,0,3067,74.8,16838.12027,15000,1838.12,467.63,37838,4100,9460,43657,37838,39557,0
4/1/2016,Reuters,77430675,13075,11.47,430.98,1,75888,1,IL,0,41647,20,8171.96,6342.4,1829.56,430.98,156539,209700,5590,558994,54258,19294,0
7/1/2017,Fake,113564154,10000,9.93,322.35,1,125000,1,MD,0,20752,42,10193.59684,10000,193.6,9846.42,176513,49400,13578,181604,176513,132204,0
10/1/2014,BBG,32308966,12000,9.17,382.55,1,60000,1,IL,0,2972,99.1,13759.44386,12000,1759.44,382.42,145888,3000,48629,151652,2972,0,0
3/1/2016,S&P,73873742,35000,16.29,1235.52,0,115000,1,TX,0,28281,76.4,25823.37,18329.4,7493.97,1235.52,238454,37000,9538,281559,141694,126173,0
10/1/2014,Reuters,29594824,18900,20.2,502.84,0,45000,1,NY,0,6268,55.5,18629.62,9462.59,9167.03,505,15422,11300,1714,27754,15422,16454,0
4/1/2014,Fake,13408628,27975,14.64,660.25,1,180000,1,CA,0,93523,87.4,38233.56866,27975,10258.57,12367.05,908655,110600,90866,986603,161942,116003,0
10/1/2014,BBG,32219134,16000,10.99,523.75,1,50000,1,NY,0,16288,57.2,18829.10367,16000,2829.1,1564.89,42718,28500,3286,53901,42718,25401,0
3/1/2016,S&P,75149370,4200,8.39,132.37,1,75000,1,TN,0,5420,33.9,4646.315402,4200,446.32,2133.25,193368,16000,10743,207242,100171,96337,0
12/1/2015,Reuters,67369855,13300,11.99,295.79,1,71000,1,NC,0,55440,95.1,15239.21745,13300,1939.22,10784.66,240720,58300,18517,269001,107280,69901,0
7/1/2016,Fake,85739311,1550,17.99,56.03,0,15000,1,PA,1,333,4.1,893.38,588.02,305.36,56.03,24664,8100,1542,32703,24664,24603,0
9/1/2014,BBG,26309861,5000,22.15,191.35,0,237000,1,CA,0,38750,79.1,6888.119531,5000,1888.12,190.87,543076,49000,41775,592326,108433,102459,0
5/1/2014,S&P,15539822,6000,12.99,202.14,1,65000,1,CA,0,7300,58.9,7283.847391,6000,1283.85,201.92,26158,12400,2378,36240,26158,23840,0
3/1/2016,Reuters,74072321,7500,28.67,312.95,0,25000,1,NY,0,17841,70,4523.5,852.06,1067.44,312.95,29351,25500,3669,37500,29351,12000,1
5/1/2016,Fake,80640780,2000,16.29,70.61,0,70000,1,PA,0,7010,88.7,1271.82,879.42,392.4,70.61,173315,7900,9122,190029,89170,77629,0
4/1/2015,BBG,46154543,8000,9.17,255.04,1,60000,1,FL,0,8326,43.6,8157.2,6999.38,1157.82,255.04,76202,19100,4233,94250,76202,75150,0
8/1/2017,S&P,114973660,35000,13.59,1189.26,1,120000,1,MI,0,24400,49.1,4704.19,3225.82,1478.37,1189.26,203033,49700,20303,248641,39056,33941,0
8/1/2017,Reuters,117863926,20000,11.99,664.2,1,85000,1,TX,0,15171,66.7,1979.28,1407.07,572.21,664.2,82186,22500,4109,104599,82186,82099,0
6/1/2016,Fake,81018726,11750,9.75,377.77,1,32000,1,AZ,0,2963,78,6793.5,5448.04,1345.46,377.77,2963,3800,1482,3800,2963,0,0
6/1/2016,BBG,79743567,5500,7.89,172.08,1,109000,1,NY,0,5454,50.5,3095.03,2588.16,506.87,172.08,17427,10800,2178,35436,17427,24636,0
12/1/2016,S&P,95188871,10000,8.24,314.48,1,60000,0,OH,0,6777,32,3457,2798.73,658.27,314.48,45186,21150,5020,62111,45186,40961,0
1/1/2016,Reuters,68339955,4000,14.85,138.37,1,180000,0,CA,0,7461,11.3,4121.4,4000,121.4,3986.33,484225,66900,32282,577545,88963,108590,0
12/1/2014,Fake,37771373,35000,18.54,1274.84,0,72000,1,AL,0,34276,57.6,41624.58,35000,6624.58,25105.74,174442,59554,14537,207148,54364,22594,0
2/1/2016,BBG,71553214,10000,11.47,219.78,1,44000,0,MI,0,18056,71.7,7432.72,1851.02,1366.7,77.9,79267,25200,6606,107899,46374,47499,1
7/1/2017,S&P,113550917,40000,9.44,838.91,1,180000,1,CA,1,17007,14.9,4173.57,2662.78,1510.79,838.91,623514,114500,29691,770548,183384,199471,0
2/1/2017,Reuters,97552386,15000,23.99,588.42,0,66500,1,MO,0,4526,58,5864.21,3159.37,2704.84,588.42,200731,7800,14338,223180,59746,73007,0
7/1/2015,Fake,54324874,12000,13.33,406.24,1,60000,1,FL,0,946,7.5,12373.41,12000,373.41,11976.06,35741,12600,3249,47988,35741,35388,0
7/1/2013,BBG,6325778,12000,9.71,385.58,1,90000,1,OH,0,14795,35.1,13880.64968,12000,1880.65,385.34,58672,42200,5334,92277,58672,50077,0
11/1/2013,S&P,8755613,7800,14.3,267.73,1,27894,0,MD,0,6675,58.6,2141.84,1457.55,683.66,267.73,6675,11400,954,11400,6675,0,1
7/1/2017,Reuters,113883787,12000,9.44,384.06,1,60000,1,IL,0,11346,21.5,1914.01,1471.27,442.74,384.06,11346,52700,667,52700,11346,0,0
4/1/2015,Fake,45092218,6000,7.89,187.72,1,49000,1,NJ,1,6200,7.7,6001.78,5261.54,740.24,187.72,138137,80700,5313,321565,17279,14000,0
8/1/2017,BBG,114179080,32000,9.93,678.81,1,55000,1,NC,0,20705,51,2697.59,1676.71,1020.88,678.81,291121,40600,32347,343300,70894,62259,0
6/1/2015,S&P,52828251,8400,13.99,287.06,1,34000,1,TN,0,9544,47.2,8733.22,8400,333.22,8152.58,21560,20200,2695,37794,21560,17594,0
2/1/2016,Reuters,70571957,17000,9.75,546.55,1,47000,1,AZ,0,16603,70.7,12014.89,9795.09,2219.8,546.55,49667,23500,4139,68686,49667,45186,0
9/1/2017,Fake,118646957,40000,10.42,858.18,1,45000,1,VA,0,36823,94.2,1670.05,1026.13,643.92,858.18,307765,39100,30777,345548,81961,53039,0
1/1/2016,BBG,68438545,30000,9.8,965.21,1,95000,1,CA,0,85256,84.8,22183.5,18141.56,4041.94,965.21,548459,89800,68557,578926,140446,75126,0
5/1/2013,S&P,5040206,15000,8.9,476.3,1,60000,0,CA,0,14511,65.1,17006.3,15000,2006.3,4624.42,280361,22300,35045,298944,14827,2244,0
6/1/2016,Reuters,83428800,21600,21.49,819.23,0,95000,1,NY,0,16966,71.9,23038.16,21600,1438.16,21425.49,56897,23600,4377,71712,56897,48112,0
2/1/2016,Fake,72784195,18000,27.34,553.3,0,53200,1,NJ,0,3675,25.7,5836.39,909.65,3117.81,735,18507,14300,2056,29300,18507,15000,1
4/1/2014,BBG,15400172,17350,24.99,689.75,0,58000,1,NY,0,9152,78.2,5081.36,1334.26,1424.74,689.75,98534,11700,8958,120960,30240,34260,1
12/1/2015,S&P,66955413,20500,18.2,522.8,0,64186.78,1,TX,0,9808,55.1,21559.02,20500,1059.02,20658.52,177116,17800,14760,205034,47146,43434,0
1/1/2014,Reuters,10787180,6400,8.9,203.23,1,42000,1,MD,0,4355,36.9,6966.39,6400,566.39,4324.4,162077,11800,27013,181800,4355,0,0
1/1/2015,Fake,38506677,12350,15.99,434.13,0,60000,1,FL,0,4160,31,14490.2,11243.78,3224.71,874,235773,13400,13099,266632,56363,60832,1
1/1/2014,BBG,10794773,28000,7.9,876.13,1,9.00E+05,1,VA,0,12329,35.8,31329.64,28000,3329.64,8550.26,1590816,34400,227259,1679599,201975,205766,0
7/1/2014,S&P,23113261,12800,10.99,419,1,58000,0,NC,0,18204,59.9,13358.24165,12800,558.24,11682.24,116488,30400,14561,136318,28098,10000,0
8/1/2015,Reuters,57782518,19800,18.55,508.74,0,55000,1,SC,0,17298,77.6,24305.61469,19800,4505.61,16694.91,247918,22300,35417,262288,51718,37588,0
11/1/2015,Fake,65159334,20000,13.67,680.36,1,69000,1,NC,0,22975,60.8,23930.99599,20000,3931,8947.89,239761,37800,9590,274389,95639,79447,0
10/1/2015,BBG,61411453,7575,13.99,258.86,1,21876,0,OK,0,11534,95.3,8929.783961,7575,1354.78,4017.33,70986,12100,14197,78612,21945,15512,0
9/1/2013,S&P,7087261,25000,16.78,618.37,1,65000,1,FL,0,23599,53.6,26375.75497,25000,1375.75,24520.98,198044,44000,28292,230000,23918,10000,0
3/1/2016,Reuters,74856267,6000,6.97,185.19,1,61000,1,TX,0,5184,26.6,6504.866555,6000,504.87,3358.96,17452,19500,1745,43848,17452,24348,0
2/1/2016,Fake,70955660,8000,9.16,255,1,68000,0,WA,0,6299,68.5,5605.93,4626.55,979.38,255,440758,9200,62965,493000,10209,6400,0
1/1/2016,BBG,68357586,3500,5.32,105.41,1,86000,0,GA,0,3840,13.7,2423.4,2171.57,251.83,105.41,167216,28100,23888,254617,26106,33234,0
3/1/2016,S&P,75270938,21000,18.99,769.68,0,113300,0,HI,0,45684,87.7,22488.09,21000,1488.09,20201.21,571290,52100,38086,669008,54057,12411,0
8/1/2017,Reuters,116828791,5000,11.99,166.05,1,72000,0,KS,0,5574,65.6,511.48,351.77,159.71,166.05,383578,8500,25572,460838,208127,215490,0
3/1/2016,Fake,75234067,15000,7.89,469.29,1,120000,1,CA,0,10414,39.9,9421.96,7895.14,1526.82,469.29,293491,26100,24458,318846,33327,31794,0
10/1/2016,BBG,91418170,12000,13.99,279.16,1,56000,0,MI,1,5181,27,8892.31,7936.98,940.33,7785,5181,19200,1036,19200,5181,0,1
2/1/2016,S&P,72633651,8000,11.99,265.68,1,115000,1,CA,0,12487,24.6,8353.37,8000,353.37,7566.99,43977,50800,2315,91800,43977,41000,0
1/1/2014,Reuters,10395031,2525,15.61,88.29,1,13800,1,TN,0,3438,26.9,3178.262456,2525,653.26,88.11,3438,12800,860,12800,3438,0,0
4/1/2014,Fake,14488328,7500,12.99,252.67,1,67000,0,VA,0,10077,37.7,8686.99,7500,1186.99,4391.6,63186,26700,3717,116251,63186,89551,0
5/1/2015,BBG,48606106,6400,12.69,214.69,1,77000,1,CA,0,10535,87.8,2478.08,1220.54,492.47,214.69,14118,12300,2824,20293,14118,0,1
9/1/2017,S&P,119245699,5700,7.21,176.55,1,40000,0,KS,1,9879,20.9,527.37,429.48,97.89,176.55,240063,47300,34295,289342,35826,34142,0
5/1/2016,Reuters,73689995,21000,14.46,493.66,1,65000,1,NY,0,4976,17.4,11532.41,7398.33,4134.08,700,22029,28600,2003,60168,22029,31568,0
4/1/2014,Fake,12918206,6400,14.64,220.74,1,56000,1,OR,0,1368,20.4,7388.36,6400,988.36,4298,207115,6700,29588,229822,13859,23930,0
4/1/2016,BBG,76341798,7200,12.99,242.57,1,60000,0,CA,0,25040,71.7,4841.01,3654.24,1186.77,242.57,61070,34900,10178,77482,61070,35000,0
8/1/2017,S&P,115421083,4000,22.91,154.66,0,53000,1,MI,0,16460,55.4,608.46,322.26,286.2,154.66,36412,29700,3641,55216,36412,25516,0
11/1/2016,Reuters,92291226,3600,7.49,111.97,1,70000,0,MO,0,18478,58.7,1454.11,1208.09,246.02,111.97,203001,31500,22556,322949,34038,30073,0
9/1/2015,Fake,59602768,20325,14.65,701.1,1,57000,0,CA,0,7095,42.2,22229.11,20325,1904.11,17337.95,167401,16800,23914,181500,15541,11000,0
10/1/2015,BBG,61370644,15000,9.99,483.94,1,44000,1,NJ,0,7540,33.2,8743.34,6937.6,1805.74,483.94,55363,22700,4259,87263,55363,64563,1
4/1/2015,S&P,46783189,25000,6.39,764.98,1,95000,1,IL,1,26570,15.6,26906.7303,25000,1906.73,4265.81,26570,170200,1329,170200,26570,0,0
11/1/2013,Reuters,8978481,18000,11.99,597.78,1,68000,1,GA,0,10142,51.5,19089.84951,18000,1089.85,7503.32,220765,19700,18397,253185,29440,25915,0
2/1/2016,Fake,69993241,35000,20.5,937.06,0,12600,1,NH,0,30116,80.5,14091.04,5742.92,8301.27,25,408499,37400,40850,425820,64539,42365,1
8/1/2015,BBG,59541198,11000,12.29,366.89,1,72000,0,TN,0,15078,58.2,11875.03,11000,875.03,6580.53,55951,25900,3997,74571,55951,48671,0
5/1/2017,S&P,106764701,5925,15.99,208.28,1,19800,1,MI,0,10766,29,6014.136087,5925,89.14,6019.4,16770,36800,1290,44701,16770,7901,0
12/1/2015,Reuters,66086023,20000,9.76,643.1,1,79000,1,CA,0,16773,41.2,15423.56,12676.04,2747.52,643.1,16773,40700,2796,40700,16773,0,0
1/1/2016,Fake,69105626,8800,6.49,269.68,1,50000,0,WI,0,7663,35.3,6199.47,5423.7,775.77,269.68,186242,21700,15520,209480,41994,42206,0
11/1/2016,BBG,93359163,32200,14.99,1116.07,1,70000,1,NY,0,7509,55.6,10017.81,6755.09,3262.72,1116.07,7509,13500,939,13500,7509,0,0
1/1/2015,S&P,37732246,15000,19.24,391.1,0,99000,1,MO,0,27580,93.2,3814.83,459.08,682.15,391.1,46599,29600,4236,51038,46599,21438,1
2/1/2017,Reuters,99806920,27000,30.79,1157.91,0,166000,1,IL,0,16873,56.1,10375.01,4642.6,5732.41,1157.91,390687,30100,27906,418142,66622,56263,0
8/1/2013,Fake,6535640,35000,19.52,917.97,0,89000,1,MN,1,28720,65.6,44959.39,35000,9959.39,28436.14,386261,43800,35115,415668,47759,14598,0
8/1/2016,BBG,88194166,16800,7.59,523.28,1,90000,0,KS,1,21210,59.1,8365.4,6998.38,1367.02,523.28,177863,35900,19763,238899,63047,68718,0
4/1/2015,S&P,44139988,16000,15.61,385.79,0,45000,1,VT,0,23803,79.6,12331.4,6995.54,5335.86,385.79,139263,29903,10713,158481,35335,17478,0
1/1/2015,Reuters,39419947,12925,17.86,327.23,0,45000,0,CO,1,3178,21.5,11437.35,6129.32,5291.67,327.23,66521,14800,4435,91320,66521,76520,0
9/1/2017,Fake,119385602,36000,9.93,1160.44,1,67600,0,AL,0,9345,19.1,2281.16,1732.22,548.94,1160.44,50686,48800,5069,90432,50686,41632,0
6/1/2015,BBG,50606015,30000,7.89,938.57,1,160000,1,MD,0,47007,68.7,28143.95,24495.96,3647.99,938.57,563051,68400,33121,629657,70207,51257,0
12/1/2016,S&P,95006568,10400,11.49,342.91,1,45000,1,OH,0,11776,55.8,4108.28,3078.75,1029.53,342.91,29589,21100,1849,41441,29589,20341,0
5/1/2017,Reuters,107592369,10000,8.24,314.48,1,125000,0,OR,0,8110,62.4,2192.2,1756.55,435.65,314.48,102447,13000,17075,131904,102447,118904,0
2/1/2016,Fake,72523429,10000,12.99,336.9,1,48000,1,MI,0,10190,44.7,7067.68,5358.87,1708.81,336.9,182817,22800,13058,206373,46626,44936,0
2/1/2016,BBG,72545859,7000,12.99,235.83,1,55000,1,NY,0,2599,28.9,7919.282781,7000,919.28,28.18,342646,9000,57108,404447,27014,31247,0
2/1/2015,S&P,40963745,25000,6.92,771.02,1,146034,1,VA,0,37844,96.3,26205.07,23471.46,2733.61,771.02,575439,39300,52313,591740,218657,165262,0
5/1/2017,Reuters,108054738,7000,11.99,232.47,1,24000,0,SC,1,5884,37.2,7189.164057,7000,189.16,6961.35,11258,15800,1608,32082,11258,16282,0
4/1/2017,Fake,106426475,28000,6.99,864.44,1,135000,1,PA,0,62724,62.9,6893.77,5726.45,1167.32,864.44,456663,99700,20757,565983,136103,116183,0
6/1/2015,BBG,51876746,14400,12.69,325.37,1,62600,1,CA,0,7788,92.7,9750.95,6073.46,3677.49,325.37,360063,8400,72013,407076,24390,26015,0
8/1/2016,S&P,86945074,6000,10.99,196.41,1,130000,1,TX,0,5852,69.7,3138.9,2425.08,713.82,196.41,125884,8400,12588,149472,10689,8569,0
2/1/2016,Reuters,72042868,7000,8.39,220.62,1,46000,0,TX,1,2345,15.8,7519.928799,7000,519.93,5096.37,14563,14800,1324,33399,14563,18599,0
3/1/2016,Fake,73191152,12000,14.46,412.82,1,115000,1,CA,0,7251,49,8659.58,6366.08,2293.5,412.82,55209,14800,4601,62903,55209,48103,0
1/1/2015,BBG,38098522,12150,12.99,276.39,1,38000,1,CA,0,8171,86,14694.46002,12150,2544.46,8899.04,15323,9500,3831,21600,15323,12100,0
5/1/2017,S&P,106997312,12000,13.99,279.16,1,49500,0,MD,0,4555,65.1,1944.79,1009.58,935.21,279.16,179851,7000,44963,193935,9190,10196,0
8/1/2015,Reuters,58532500,8000,12.29,266.83,1,69120,0,VA,0,2888,24,8842.94,8000,842.94,6185.56,2888,11900,412,11900,2888,0,0
10/1/2014,Fake,28544085,15000,12.99,505.34,1,1.00E+05,1,OR,0,31616,81.3,18197.34006,15000,3197.34,5.1,42888,38900,5361,50900,42888,12000,0
9/1/2016,BBG,90076560,21000,14.49,493.99,1,75000,0,CA,0,28965,92,7333.78,3927.58,3406.2,493.99,41240,31500,10310,49354,41240,17854,0
4/1/2017,S&P,103752832,4500,12.74,151.06,1,98000,1,WI,0,9181,84.5,1205.3,857.64,347.66,151.06,59572,28100,3971,114775,59572,86675,0
2/1/2017,Reuters,98074544,14000,13.49,475.03,1,67000,1,CA,0,12016,60.1,4739.81,3342.07,1397.74,475.03,455027,20000,65004,489179,38368,50094,0
9/1/2017,Fake,118263423,8000,13.59,271.84,1,145000,1,MN,0,2399,23.5,7406.13,7148.52,257.61,271.8361828,2399,10200,600,10200,2399,0,0
3/1/2017,BBG,102630516,10000,11.39,329.24,1,80000,0,ID,0,9973,46.8,2950.5,2190.78,759.72,329.24,47414,21300,5268,72271,47414,50971,0
